Landkreis	Bundesland	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	DoublingTime_Cases_Last_Week_Per_100000
Flensburg (Kreisfreie Stadt)	Schleswig-Holstein	89934	4780	48	53150	533	2.4	92.9	5.2
Kiel (Kreisfreie Stadt)	Schleswig-Holstein	246601	12573	129	50985	523	6.6	78.1	5.3
Lübeck (Kreisfreie Stadt)	Schleswig-Holstein	215846	11927	119	55256	551	6.9	94.7	1.7
Neumünster (Kreisfreie Stadt)	Schleswig-Holstein	79905	4071	29	50948	362	16.0	96.0	8.4
Dithmarschen (Kreis)	Schleswig-Holstein	133251	5347	62	40127	465	5.3	92.1	11.2
Herzogtum Lauenburg (Kreis)	Schleswig-Holstein	199152	10969	133	55078	667	4.5	86.4	7.8
Nordfriesland (Kreis)	Schleswig-Holstein	167147	6074	93	36339	556	8.3	66.7	8.1
Ostholstein (Kreis)	Schleswig-Holstein	201487	7035	98	34915	486	2.1	85.4	2.8
Pinneberg (Kreis)	Schleswig-Holstein	317085	19314	420	60911	1324	13.3	80.0	13.5
Plön (Kreis)	Schleswig-Holstein	129353	3603	39	27854	301	8.3	75.0	5.2
Rendsburg-Eckernförde (Kreis)	Schleswig-Holstein	274765	9947	73	36201	265	2.4	58.5	6.3
Schleswig-Flensburg (Kreis)	Schleswig-Holstein	202647	5753	70	28389	345	8.3	95.8	8.5
Segeberg (Kreis)	Schleswig-Holstein	278007	13064	196	46991	705	4.7	80.2	
Steinburg (Kreis)	Schleswig-Holstein	130706	4769	50	36486	382	2.3	65.1	8.9
Stormarn (Kreis)	Schleswig-Holstein	244989	13641	337	55680	1375	36.7	96.7	9.1
Saarbrücken (Landkreis)	Saarland	327502	28251	552	86262	1685	16.8	86.6	9.2
Merzig-Wadern (Landkreis)	Saarland	103471	7016	82	67806	792	25.0	83.3	20.4
Neunkirchen (Landkreis)	Saarland	131172	9933	156	75725	1189	2.7	81.1	10.8
Saarlouis (Landkreis)	Saarland	193732	16127	200	83243	1032	8.5	66.1	10.9
Saarpfalz-Kreis (Landkreis)	Saarland	141656	9910	148	69958	1044	11.7	88.3	8.2
St. Wendel (Landkreis)	Saarland	86458	5823	121	67350	1399	14.3	64.3	4.6
Berlin Reinickendorf (Bezirk)	Berlin	259720	27225	355	104824	1366	17.3	88.4	
Berlin Charlottenburg-Wilmersdorf (Bezirk)	Berlin	316223	28322	347	89563	1097	17.3	88.4	5.7
Berlin Treptow-Köpenick (Bezirk)	Berlin	272992	21806	247	79877	904	17.3	88.4	6.7
Berlin Pankow (Bezirk)	Berlin	404187	33598	242	83124	598	17.3	88.4	10.3
Berlin Neukölln (Bezirk)	Berlin	318509	39333	462	123491	1450	17.3	88.4	5.8
Berlin Lichtenberg (Bezirk)	Berlin	292005	24451	294	83734	1006	17.3	88.4	4.1
Berlin Marzahn-Hellersdorf (Bezirk)	Berlin	274076	20830	283	76000	1032	17.3	88.4	10.2
Berlin Spandau (Bezirk)	Berlin	239374	25801	298	107785	1244	17.3	88.4	5.6
Berlin Steglitz-Zehlendorf (Bezirk)	Berlin	291915	23673	448	81095	1534	17.3	88.4	31.5
Berlin Mitte (Bezirk)	Berlin	374581	42003	378	112133	1009	17.3	88.4	6.4
