Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2020-04-24	354	264	74.6	26	7.3		84.6
2020-04-25	356	263	73.9	27	7.6		81.5
2020-04-26	351	239	68.1	26	7.4		84.6
2020-04-27	354	256	72.3	30	8.5		86.7
2020-04-28	347	244	70.3	28	8.1		92.9
2020-04-29	349	254	72.8	27	7.7		92.6
2020-04-30	329	246	74.8	29	8.8		86.2
2020-05-01	336	237	70.5	32	9.5		81.2
2020-05-02	341	231	67.7	32	9.4		87.5
2020-05-03	343	210	61.2	32	9.3		87.5
2020-05-04	345	225	65.2	32	9.3		87.5
2020-05-05	343	243	70.8	30	8.7		86.7
2020-05-06	345	243	70.4	25	7.2		96.0
2020-05-07	344	246	71.5	24	7.0		100.0
2020-05-08	347	262	75.5	21	6.1		100.0
2020-05-09	337	242	71.8	21	6.2		100.0
2020-05-10	338	232	68.6	21	6.2		100.0
2020-05-11	341	244	71.6	22	6.5		95.5
2020-05-12	329	234	71.1	20	6.1		90.0
2020-05-13	329	238	72.3	19	5.8		89.5
2020-05-14	341	263	77.1	20	5.9		85.0
2020-05-15	337	246	73.0	17	5.0		88.2
2020-05-16	354	253	71.5	15	4.2		86.7
2020-05-17	347	250	72.0	16	4.6		81.2
2020-05-18	348	243	69.8	17	4.9		82.4
2020-05-19	343	253	73.8	16	4.7		87.5
2020-05-20	345	258	74.8	15	4.3		80.0
2020-05-21	339	251	74.0	14	4.1		78.6
2020-05-22	340	250	73.5	15	4.4		80.0
2020-05-23	346	258	74.6	13	3.8		69.2
2020-05-24	345	248	71.9	15	4.3		66.7
2020-05-25	343	235	68.5	13	3.8		69.2
2020-05-26	345	252	73.0	13	3.8		84.6
2020-05-27	345	256	74.2	9	2.6		88.9
2020-05-28	341	264	77.4	9	2.6		100.0
2020-05-29	340	274	80.6	11	3.2		90.9
2020-05-30	338	262	77.5	8	2.4		75.0
2020-05-31	338	244	72.2	9	2.7		66.7
2020-06-01	332	236	71.1	9	2.7		66.7
2020-06-02	336	224	66.7	8	2.4		75.0
2020-06-03	338	245	72.5	8	2.4		75.0
2020-06-04	344	250	72.7	7	2.0		71.4
2020-06-05	343	249	72.6	7	2.0		71.4
2020-06-06	340	262	77.1	6	1.8		83.3
2020-06-07	337	239	70.9	8	2.4		62.5
2020-06-08	339	233	68.7	6	1.8		83.3
2020-06-09	341	244	71.6	5	1.5		80.0
2020-06-10	338	258	76.3	5	1.5		80.0
2020-06-11	334	254	76.0	5	1.5		80.0
2020-06-12	337	247	73.3	5	1.5		80.0
2020-06-13	336	258	76.8	4	1.2		50.0
2020-06-14	339	251	74.0	4	1.2		50.0
2020-06-15	338	237	70.1	5	1.5		60.0
2020-06-16	341	262	76.8	4	1.2		75.0
2020-06-17	344	259	75.3	3	0.9		66.7
2020-06-18	342	260	76.0	3	0.9		66.7
2020-06-19	340	263	77.4	1	0.3		100.0
2020-06-20	336	255	75.9	2	0.6		50.0
2020-06-21	335	266	79.4	2	0.6		50.0
2020-06-22	337	247	73.3	3	0.9		66.7
2020-06-23	338	257	76.0	2	0.6		50.0
2020-06-24	333	268	80.5	4	1.2		75.0
2020-06-25	378	304	80.4	4	1.1		75.0
2020-06-26	380	305	80.3	4	1.1		75.0
2020-06-27	378	305	80.7	5	1.3		60.0
2020-06-28	371	287	77.4	4	1.1		100.0
2020-06-29	392	309	78.8	4	1.0		100.0
2020-06-30	397	332	83.6	3	0.8		100.0
2020-07-01	393	332	84.5	2	0.5		100.0
2020-07-02	394	336	85.3	3	0.8		100.0
2020-07-03	393	330	84.0	3	0.8		100.0
2020-07-04	392	315	80.4	4	1.0		100.0
2020-07-05	389	296	76.1	4	1.0		100.0
2020-07-06	395	295	74.7	4	1.0		100.0
2020-07-07	391	298	76.2	5	1.3		100.0
2020-07-08	395	302	76.5	5	1.3		100.0
2020-07-09	395	317	80.3	5	1.3		100.0
2020-07-10	390	312	80.0	4	1.0		100.0
2020-07-11	393	319	81.2	5	1.3		100.0
2020-07-12	393	308	78.4	4	1.0		100.0
2020-07-13	386	305	79.0	4	1.0		100.0
2020-07-14	389	309	79.4	4	1.0		100.0
2020-07-15	402	334	83.1	3	0.7		100.0
2020-07-16	404	338	83.7	5	1.2		100.0
2020-07-17	404	331	81.9	5	1.2		100.0
2020-07-18	397	327	82.4	6	1.5		83.3
2020-07-19	397	320	80.6	4	1.0		100.0
2020-07-20	391	306	78.3	5	1.3		80.0
2020-07-21	389	324	83.3	5	1.3		80.0
