Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time	Cases_Last_Week_7Day_Percent	Days_Past
2020-01-02	1	0	1	0	0	0	0	0	0	0.0	0	0.0					-729
2020-01-03	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-728
2020-01-04	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-727
2020-01-05	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-726
2020-01-06	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-725
2020-01-07	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-724
2020-01-08	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-723
2020-01-09	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-722
2020-01-10	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-721
2020-01-11	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-720
2020-01-12	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-719
2020-01-13	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-718
2020-01-14	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-717
2020-01-15	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-716
2020-01-16	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-715
2020-01-17	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-714
2020-01-18	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-713
2020-01-19	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-712
2020-01-20	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-711
2020-01-21	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-710
2020-01-22	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-709
2020-01-23	2	0	1	0	1	0	0	0	0	0.0	0	0.0				0	-708
2020-01-24	2	0	0	0	1	0	0	0	0	0.0	0	0.0				0	-707
2020-01-25	2	0	0	0	1	0	0	0	0	0.0	0	0.0				0	-706
2020-01-26	2	0	0	0	1	0	0	0	0	0.0	0	0.0				0	-705
2020-01-27	2	0	0	0	1	0	0	0	0	0.0	0	0.0				0	-704
2020-01-28	4	0	2	0	3	0	0	0	0	0.0	0	0.0				0	-703
2020-01-29	6	0	2	0	5	0	0	0	0	0.0	0	0.0				0	-702
2020-01-30	6	0	0	0	4	0	0	0	0	0.0	0	0.0				0	-701
2020-01-31	10	0	4	0	8	0	0	0	0	0.0	0	0.0				0	-700
2020-02-01	11	0	1	0	9	0	0	0	0	0.0	0	0.0				0	-699
2020-02-02	11	0	0	0	9	0	0	0	0	0.0	0	0.0				0	-698
2020-02-03	12	0	1	0	10	0	0	0	0	0.0	0	0.0				0	-697
2020-02-04	16	0	4	0	12	0	0	0	0	0.0	0	0.0				300.0	-696
2020-02-05	17	0	1	0	11	0	0	0	0	0.0	0	0.0				120.0	-695
2020-02-06	18	0	1	0	12	0	0	0	0	0.0	0	0.0				200.0	-694
2020-02-07	19	0	1	0	9	0	0	0	0	0.0	0	0.0				12.5	-693
2020-02-08	19	0	0	0	8	0	0	0	0	0.0	0	0.0				-11.1	-692
2020-02-09	19	0	0	0	8	0	0	0	0	0.0	0	0.0				-11.1	-691
2020-02-10	19	0	0	0	7	0	0	0	0	0.0	0	0.0				-30.0	-690
2020-02-11	21	0	2	0	5	0	0	0	0	0.0	0	0.0				-58.3	-689
2020-02-12	21	0	0	0	4	0	0	0	0	0.0	0	0.0				-63.6	-688
2020-02-13	21	0	0	0	3	0	0	0	0	0.0	0	0.0				-75.0	-687
2020-02-14	21	0	0	0	2	0	0	0	0	0.0	0	0.0				-77.8	-686
2020-02-15	21	0	0	0	2	0	0	0	0	0.0	0	0.0				-75.0	-685
2020-02-16	21	0	0	0	2	0	0	0	0	0.0	0	0.0				-75.0	-684
2020-02-17	22	0	1	0	3	0	0	0	0	0.0	0	0.0				-57.1	-683
2020-02-18	23	0	1	0	2	0	0	0	0	0.0	0	0.0				-60.0	-682
2020-02-19	23	0	0	0	2	0	0	0	0	0.0	0	0.0				-50.0	-681
2020-02-20	25	1	2	1	4	1	0	0	0	0.012	0	0.01				33.3	-680
2020-02-21	25	1	0	0	4	1	0	0	0	0.0	0	0.01				100.0	-679
2020-02-22	25	1	0	0	4	1	0	0	0	0.0	0	0.01				100.0	-678
2020-02-23	25	1	0	0	4	1	0	0	0	0.0	0	0.01				100.0	-677
2020-02-24	26	1	1	0	4	1	0	0	0	0.0	0	0.01				33.3	-676
2020-02-25	29	1	3	0	6	1	0	0	0	0.0	0	0.01				200.0	-675
2020-02-26	36	1	7	0	13	1	0	0	0	0.0	0	0.01				550.0	-674
2020-02-27	59	1	23	0	34	0	0	0	0	0.0	0	0.0				750.0	-673
2020-02-28	106	1	47	0	81	0	1	0	0	0.0	0	0.0				1925.0	-672
2020-02-29	129	1	23	0	104	0	1	0	0	0.0	1	0.0				2500.0	-671
2020-03-01	164	1	35	0	139	0	1	0	0	0.0	1	0.0				3375.0	-670
2020-03-02	205	1	41	0	179	0	2	0	0	0.0	2	0.0				4375.0	-669
2020-03-03	289	1	84	0	260	0	3	0	1	0.0	3	0.0				4233.3	-668
2020-03-04	446	3	157	2	410	2	5	0	1	0.024	4	0.02				3053.8	-667
2020-03-05	632	4	186	1	573	3	7	0	2	0.012	6	0.04				1585.3	-666
2020-03-06	818	8	186	4	712	7	9	0	2	0.048	8	0.08				779.0	-665
2020-03-07	960	12	142	4	831	11	11	0	1	0.048	10	0.13				699.0	-664
2020-03-08	1063	13	103	1	899	12	12	0	1	0.012	10	0.14				546.8	-663
2020-03-09	1408	20	345	7	1203	19	16	0	4	0.084	14	0.23				572.1	-662
2020-03-10	2004	24	596	4	1715	23	24	0	7	0.048	20	0.28				559.6	-661
2020-03-11	2759	34	755	10	2313	31	33	0	9	0.12	27	0.37				464.1	-660
2020-03-12	3751	46	992	12	3119	42	45	0	11	0.145	37	0.51				444.3	-659
2020-03-13	5211	62	1460	16	4393	54	62	0	17	0.193	52	0.65				517.0	-658
2020-03-14	6514	82	1303	20	5554	70	78	0	15	0.241	66	0.84				568.4	-657
2020-03-15	7495	97	981	15	6432	84	90	1	11	0.181	77	1.01				615.5	-656
2020-03-16	9530	132	2035	35	8122	112	114	1	24	0.422	97	1.35				575.1	-655
2020-03-17	12556	176	3026	44	10552	152	151	2	36	0.53	127	1.83				515.3	-654
2020-03-18	16154	239	3598	63	13395	205	194	2	43	0.759	161	2.47				479.1	-653
2020-03-19	20211	303	4057	64	16460	257	243	3	48	0.771	198	3.1				427.7	-652
2020-03-20	24260	399	4049	96	19049	337	292	4	48	1.156	229	4.06				333.6	-651
2020-03-21	27617	494	3357	95	21103	412	332	5	40	1.144	254	4.96				280.0	-650
2020-03-22	29882	573	2265	79	22387	476	359	6	27	0.952	269	5.73				248.1	-649
2020-03-23	33612	704	3730	131	24082	572	404	8	44	1.578	290	6.89				196.5	-648
2020-03-24	38493	872	4881	168	25937	696	463	10	58	2.024	312	8.38				145.8	-647
2020-03-25	44170	1089	5677	217	28016	850	532	13	68	2.614	337	10.24				109.2	-646
2020-03-26	50073	1356	5903	267	29862	1053	603	16	71	3.216	359	12.68				81.4	-645
2020-03-27	56053	1620	5980	264	31793	1221	675	19	72	3.18	382	14.71				66.9	-644
2020-03-28	60774	1868	4721	248	33157	1374	732	22	56	2.987	399	16.55				57.1	-643
2020-03-29	63850	2034	3076	166	33968	1461	769	24	37	2.0	409	17.6				51.7	-642
2020-03-30	67967	2301	4117	267	34355	1597	818	27	49	3.216	413	19.24				42.7	-641
2020-03-31	74026	2683	6059	382	35533	1811	891	32	72	4.601	428	21.81				37.0	-640
2020-04-01	80283	3059	6257	376	36113	1970	967	36	75	4.529	434	23.73				28.9	-639
2020-04-02	86829	3476	6546	417	36756	2120	1045	41	78	5.023	442	25.54				23.1	-638
2020-04-03	93023	3873	6194	397	36970	2253	1120	46	74	4.782	445	27.14				16.3	-637
2020-04-04	97367	4118	4344	245	36593	2250	1172	49	52	2.951	440	27.1				10.4	-636
2020-04-05	99902	4301	2535	183	36052	2267	1203	51	30	2.204	434	27.31				6.1	-635
2020-04-06	103561	4592	3659	291	35594	2291	1247	55	44	3.505	428	27.6				3.6	-634
2020-04-07	108750	4932	5189	340	34724	2249	1309	59	62	4.095	418	27.09				-2.3	-633
2020-04-08	114025	5276	5275	344	33742	2217	1373	63	63	4.144	406	26.7				-6.6	-632
2020-04-09	118930	5601	4905	325	32101	2125	1432	67	59	3.915	386	25.6				-12.7	-631
2020-04-10	122284	5809	3354	208	29261	1936	1472	69	40	2.505	352	23.32				-20.9	-630
2020-04-11	125168	6010	2884	201	27801	1892	1507	72	34	2.421	334	22.79				-24.0	-629
2020-04-12	127032	6177	1864	167	27130	1876	1530	74	22	2.012	326	22.6				-24.7	-628
2020-04-13	128630	6340	1598	163	25069	1748	1549	76	19	1.963	301	21.06				-29.6	-627
2020-04-14	131093	6558	2463	218	22343	1626	1579	78	29	2.626	269	19.59				-35.7	-626
2020-04-15	134416	6789	3323	231	20391	1513	1619	81	40	2.782	245	18.22				-39.6	-625
2020-04-16	137832	6980	3416	191	18902	1379	1660	84	41	2.301	227	16.61				-41.1	-624
2020-04-17	140876	7155	3044	175	18592	1346	1696	86	36	2.108	223	16.21				-36.5	-623
2020-04-18	142982	7278	2106	123	17814	1268	1722	87	25	1.482	214	15.27				-35.9	-622
2020-04-19	144357	7397	1375	119	17325	1220	1738	89	16	1.433	208	14.7				-36.1	-621
2020-04-20	146067	7547	1710	150	17437	1207	1759	90	20	1.807	210	14.54				-30.4	-620
2020-04-21	148250	7686	2183	139	17157	1128	1785	92	26	1.674	206	13.59				-23.2	-619
2020-04-22	150738	7812	2488	126	16322	1023	1815	94	29	1.518	196	12.32				-20.0	-618
2020-04-23	152828	7929	2090	117	14996	949	1840	95	25	1.409	180	11.43				-20.7	-617
2020-04-24	154731	8013	1903	84	13855	858	1863	96	22	1.012	166	10.33	8.2	60.8		-25.5	-616
2020-04-25	156002	8093	1271	80	13020	815	1879	97	15	0.964	156	9.82	7.9	60.6		-26.9	-615
