	Covid_Fälle	Covid_Fälle_Proz	Covid_Tote	Covid_Tote_Proz	Bevölkerung	Bev_Proz	ICU	ICU_Proz
0-4	96595.0	2.6						
0-9	224471.0	6.0	10.0	0.011	7589000.0	9.1	4.5	0.2
10-14	147082.0	3.9						
10-19	364844.0	9.8	10.0	0.011	7706000.0	9.3	4.5	0.2
15-19	217762.0	5.8						
20-	589315.0	15.8	20.0	0.022	15295000.0	18.4	9.0	0.4
20-24	291401.0	7.8						
20-29	578682.0	15.5	56.0	0.062	9801000.0	11.8	27.0	1.1
20-40	1153076.0	31.0	275.0	0.303	20447000.0	24.6	98.0	4.1
25-29	287281.0	7.7						
30-	1167997.0	31.4	76.0	0.084	25096000.0	30.2	36.0	1.5
30-34	300406.0	8.1						
30-39	574394.0	15.4	219.0	0.241	10646000.0	12.8	71.0	3.0
35-39	273988.0	7.4						
40-	1742391.0	46.8	295.0	0.325	35742000.0	43.1	107.0	4.5
40-44	265492.0	7.1						
40-49	533819.0	14.3	701.0	0.772	10426000.0	12.6	195.0	8.1
45-49	268327.0	7.2						
5-9	127876.0	3.4						
50-54	311418.0	8.4						
50-59	613860.0	16.5	3081.0	3.393	13474000.0	16.2	528.0	22.0
55-59	302442.0	8.1						
60-64	215764.0	5.8						
60-69	344229.0	9.2	8305.0	9.146	10302000.0	12.4	774.0	32.3
65-69	128465.0	3.4						
70-74	100903.0	2.7						
70-79	199916.0	5.4	18902.0	20.817	7686000.0	9.3	622.0	26.0
75-79	99013.0	2.7						
80+	288249.0	7.7	59516.0	65.546	5390000.0	6.5	170.0	7.1
80-84	121577.0	3.3						
80-89	212902.0	5.7	40357.0	44.446				
85-89	91325.0	2.5						
90+	75347.0	2.0	19159.0	21.1				
