Country	Date	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million
Austria	2021-10-07	8902600	755797	11072	85429	1251
Belgium	2021-10-07	11515793	1258688	25665	110197	2246
Canada	2021-10-07	37894799	1659517	28196	44780	760
Czechia	2021-10-07	10649800	1697064	30493	159713	2869
Denmark	2021-10-07	5822763	363915	2670	62771	460
Finland	2021-10-07	5521158	145354	1092	26341	197
France	2021-10-07	67022000	7142387	117846	106623	1759
Germany	2021-10-07	83149300	4295876	94117	51802	1134
Greece	2021-10-07	10768477	671040	15042	62552	1402
Hungary	2021-10-07	9772756	826636	30259	84620	3097
Iran	2021-10-07	83183741	5674083	122012	69365	1491
Italy	2021-10-07	60317546	4692274	131198	77646	2171
Japan	2021-10-07	126150000	1709603	17872	13511	141
Netherlands	2021-10-07	17424978	2055052	18625	119264	1080
Portugal	2021-10-07	10276617	1073268	18019	104385	1752
South Korea	2021-10-07	51709098	327976	2554	6351	49
Spain	2021-10-07	46733038	4971310	86701	106397	1855
Sweden	2021-10-07	10333456	1157083	14904	113626	1463
Switzerland	2021-10-07	8570146	847452	11118	99506	1305
Turkey	2021-10-07	83154997	7357306	65590	89374	796
United Kingdom	2021-10-07	67545757	8084322	137818	121588	2072
United States	2021-10-07	328239523	44158910	710173	134973	2170
